mode,variant,sample_index,delivery_milliseconds
memory,buffering-proxy-auto-detection,37,19.600000
memory,buffering-proxy-auto-detection,38,20.200000
memory,buffering-proxy-auto-detection,39,19.300000
memory,buffering-proxy-auto-detection,40,20.200000
memory,buffering-proxy-auto-detection,41,20.300000
memory,buffering-proxy-auto-detection,42,19.900000
memory,buffering-proxy-auto-detection,43,19.500000
memory,buffering-proxy-auto-detection,44,18.900000
memory,buffering-proxy-auto-detection,45,19.700000
memory,buffering-proxy-auto-detection,46,20.600000
memory,buffering-proxy-auto-detection,47,21.200000
memory,buffering-proxy-auto-detection,48,21.700000
memory,buffering-proxy-auto-detection,49,17.700000
memory,buffering-proxy-auto-detection,50,23.200000
memory,buffering-proxy-auto-detection,51,17.200000
memory,buffering-proxy-auto-detection,52,20.500000
memory,buffering-proxy-auto-detection,53,19.400000
memory,buffering-proxy-auto-detection,54,20.200000
memory,buffering-proxy-auto-detection,55,20.400000
memory,buffering-proxy-auto-detection,56,20.000000
memory,buffering-proxy-auto-detection,57,20.000000
memory,buffering-proxy-auto-detection,58,20.000000
memory,buffering-proxy-auto-detection,59,19.900000
memory,buffering-proxy-auto-detection,60,19.600000
memory,buffering-proxy-auto-detection,61,20.000000
memory,buffering-proxy-auto-detection,62,20.300000
memory,buffering-proxy-auto-detection,63,21.000000
memory,buffering-proxy-auto-detection,64,20.800000
memory,buffering-proxy-auto-detection,65,19.900000
memory,buffering-proxy-auto-detection,66,19.900000
memory,buffering-proxy-auto-detection,67,17.900000
memory,buffering-proxy-auto-detection,68,20.800000
memory,buffering-proxy-auto-detection,69,19.900000
memory,buffering-proxy-auto-detection,70,18.800000
memory,buffering-proxy-auto-detection,71,21.600000
memory,buffering-proxy-auto-detection,72,20.800000
memory,buffering-proxy-auto-detection,73,19.500000
memory,buffering-proxy-auto-detection,74,17.800000
memory,buffering-proxy-auto-detection,75,20.700000
memory,buffering-proxy-auto-detection,76,20.100000
memory,buffering-proxy-auto-detection,77,19.800000
memory,buffering-proxy-auto-detection,78,22.400000
memory,buffering-proxy-auto-detection,79,20.000000
memory,buffering-proxy-auto-detection,80,18.800000
memory,buffering-proxy-auto-detection,81,19.300000
memory,buffering-proxy-auto-detection,82,19.600000
memory,buffering-proxy-auto-detection,83,20.800000
memory,buffering-proxy-auto-detection,84,18.000000
memory,buffering-proxy-auto-detection,85,19.800000
memory,buffering-proxy-auto-detection,86,10.700000
memory,buffering-proxy-auto-detection,87,18.600000
memory,buffering-proxy-auto-detection,88,10.600000
memory,buffering-proxy-auto-detection,89,9.600000
memory,buffering-proxy-auto-detection,90,11.200000
memory,buffering-proxy-auto-detection,91,20.700000
memory,buffering-proxy-auto-detection,92,18.700000
memory,buffering-proxy-auto-detection,93,9.700000
memory,buffering-proxy-auto-detection,94,12.000000
memory,buffering-proxy-auto-detection,95,18.600000
memory,buffering-proxy-auto-detection,96,20.100000
memory,buffering-proxy-auto-detection,97,21.600000
memory,buffering-proxy-auto-detection,98,20.500000
memory,buffering-proxy-auto-detection,99,18.400000
memory,buffering-proxy-auto-detection,100,19.900000
disk-wal,long-polling,1,21.700000
disk-wal,long-polling,2,18.600000
disk-wal,long-polling,3,20.400000
disk-wal,long-polling,4,23.300000
disk-wal,long-polling,5,16.400000
disk-wal,long-polling,6,20.900000
disk-wal,long-polling,7,17.500000
disk-wal,long-polling,8,20.600000
disk-wal,long-polling,9,19.100000
disk-wal,long-polling,10,21.700000
disk-wal,long-polling,11,22.200000
disk-wal,long-polling,12,18.500000
disk-wal,long-polling,13,22.300000
disk-wal,long-polling,14,19.700000
disk-wal,long-polling,15,19.400000
disk-wal,long-polling,16,21.100000
disk-wal,long-polling,17,22.800000
disk-wal,long-polling,18,19.900000
disk-wal,long-polling,19,25.300000
disk-wal,long-polling,20,19.500000
disk-wal,long-polling,21,16.800000
disk-wal,long-polling,22,14.900000
disk-wal,long-polling,23,16.400000
disk-wal,long-polling,24,22.500000
disk-wal,long-polling,25,21.000000
disk-wal,long-polling,26,15.300000
disk-wal,long-polling,27,11.800000
disk-wal,long-polling,28,18.700000
disk-wal,long-polling,29,13.100000
disk-wal,long-polling,30,20.300000
disk-wal,long-polling,31,17.700000
disk-wal,long-polling,32,23.700000
disk-wal,long-polling,33,17.700000
disk-wal,long-polling,34,24.800000
disk-wal,long-polling,35,18.300000
disk-wal,long-polling,36,18.500000
disk-wal,long-polling,37,19.600000
disk-wal,long-polling,38,16.000000
disk-wal,long-polling,39,22.400000
disk-wal,long-polling,40,22.600000
disk-wal,long-polling,41,17.100000
disk-wal,long-polling,42,19.000000
disk-wal,long-polling,43,20.200000
disk-wal,long-polling,44,20.600000
disk-wal,long-polling,45,20.900000
disk-wal,long-polling,46,22.800000
disk-wal,long-polling,47,16.500000
disk-wal,long-polling,48,17.500000
disk-wal,long-polling,49,11.500000
disk-wal,long-polling,50,20.200000
disk-wal,long-polling,51,20.100000
disk-wal,long-polling,52,23.200000
disk-wal,long-polling,53,22.700000
disk-wal,long-polling,54,18.000000
disk-wal,long-polling,55,15.400000
disk-wal,long-polling,56,20.500000
disk-wal,long-polling,57,19.500000
disk-wal,long-polling,58,23.900000
disk-wal,long-polling,59,16.100000
