UID          PID    PPID  C    SZ   RSS PSR STIME TTY          TIME CMD
root           1       0  3  6563 16740  10 09:49 ?        00:00:02 /usr/lib/systemd/systemd --switched-root --system --deserialize=53 splash
root         132       2  0     0     0   9 09:49 ?        00:00:00 [kworker/R-ipv6_addrconf]
root         133       2  0     0     0   9 09:49 ?        00:00:00 [kworker/R-kstrp]
root         134       2  0     0     0   1 09:49 ?        00:00:00 [kworker/1:1-cgroup_free]
root         135       2  0     0     0   8 09:49 ?        00:00:00 [kworker/8:1-mm_percpu_wq]
root         136       2  0     0     0   2 09:49 ?        00:00:00 [kworker/2:1-cgroup_free]
root         137       2  0     0     0  11 09:49 ?        00:00:00 [kworker/11:1-mm_percpu_wq]
root         139       2  0     0     0   6 09:49 ?        00:00:00 [kworker/u52:0-ttm]
root         140       2  0     0     0   3 09:49 ?        00:00:00 [kworker/u53:0-ttm]
root         151       2  0     0     0   3 09:49 ?        00:00:00 [kworker/R-charger_manager]
root         152       2  0     0     0   4 09:49 ?        00:00:00 [kworker/4:1-mm_percpu_wq]
root         153       2  0     0     0   9 09:49 ?        00:00:00 [kworker/9:2-cgroup_free]
root         154       2  0     0     0   9 09:49 ?        00:00:00 [kworker/9:3-events]
root         155       2  0     0     0   5 09:49 ?        00:00:00 [kworker/5:1-cgroup_free]
root         156       2  0     0     0   8 09:49 ?        00:00:00 [kworker/8:2-events]
root         197       2  0     0     0   7 09:49 ?        00:00:00 [kworker/7:1-cgroup_free]
root         266       2  0     0     0   0 09:49 ?        00:00:00 [kworker/0:2-cgroup_free]
root         268       2  0     0     0   9 09:49 ?        00:00:00 [kworker/9:4-events]
root         293       2  0     0     0  11 09:49 ?        00:00:00 [kworker/11:2-cgroup_free]
root         297       2  0     0     0   2 09:49 ?        00:00:00 [kworker/2:2-mm_percpu_wq]
root         323       2  0     0     0   5 09:49 ?        00:00:00 [kworker/5:2]
root         365       2  0     0     0   5 09:49 ?        00:00:00 [ccp-1-q2]
root         366       2  0     0     0   5 09:49 ?        00:00:00 [ccp-1-q3]
root         367       2  0     0     0   5 09:49 ?        00:00:00 [ccp-1-q4]
root         368       2  0     0     0   3 09:49 ?        00:00:00 [hwrng]
root         369       2  0     0     0   2 09:49 ?        00:00:00 [scsi_eh_0]
root         370       2  0     0     0   5 09:49 ?        00:00:00 [kworker/R-scsi_tmf_0]
root         371       2  0     0     0   5 09:49 ?        00:00:00 [scsi_eh_1]
root         372       2  0     0     0   5 09:49 ?        00:00:00 [kworker/R-scsi_tmf_1]
root         373       2  0     0     0   5 09:49 ?        00:00:00 [scsi_eh_2]
root         374       2  0     0     0   5 09:49 ?        00:00:00 [kworker/R-scsi_tmf_2]
root         375       2  0     0     0   5 09:49 ?        00:00:00 [scsi_eh_3]
root         376       2  0     0     0   5 09:49 ?        00:00:00 [kworker/R-scsi_tmf_3]
root         377       2  0     0     0   4 09:49 ?        00:00:00 [scsi_eh_4]
root         378       2  0     0     0   5 09:49 ?        00:00:00 [kworker/R-scsi_tmf_4]
root         379       2  0     0     0   4 09:49 ?        00:00:00 [scsi_eh_5]
root         380       2  0     0     0   5 09:49 ?        00:00:00 [kworker/R-scsi_tmf_5]
root         381       2  0     0     0   5 09:49 ?        00:00:00 [scsi_eh_6]
root         382       2  0     0     0   5 09:49 ?        00:00:00 [kworker/R-scsi_tmf_6]
root         383       2  0     0     0   3 09:49 ?        00:00:00 [scsi_eh_7]
root         384       2  0     0     0   5 09:49 ?        00:00:00 [kworker/R-scsi_tmf_7]
root         385       2  0     0     0   5 09:49 ?        00:00:00 [kworker/R-nvme-wq]
