mode,variant,sample_index,delivery_milliseconds
disk-wal,streaming,22,13.400000
disk-wal,streaming,23,16.300000
disk-wal,streaming,24,12.600000
disk-wal,streaming,25,17.600000
disk-wal,streaming,26,13.200000
disk-wal,streaming,27,16.700000
disk-wal,streaming,28,13.400000
disk-wal,streaming,29,16.600000
disk-wal,streaming,30,12.600000
disk-wal,streaming,31,17.600000
disk-wal,streaming,32,12.900000
disk-wal,streaming,33,16.300000
disk-wal,streaming,34,12.100000
disk-wal,streaming,35,18.700000
disk-wal,streaming,36,12.800000
disk-wal,streaming,37,16.500000
disk-wal,streaming,38,12.900000
disk-wal,streaming,39,17.200000
disk-wal,streaming,40,12.300000
disk-wal,streaming,41,17.500000
disk-wal,streaming,42,11.800000
disk-wal,streaming,43,19.300000
disk-wal,streaming,44,12.000000
disk-wal,streaming,45,17.400000
disk-wal,streaming,46,12.100000
disk-wal,streaming,47,18.100000
disk-wal,streaming,48,12.300000
disk-wal,streaming,49,16.600000
disk-wal,streaming,50,12.300000
disk-wal,streaming,51,18.000000
disk-wal,streaming,52,12.700000
disk-wal,streaming,53,17.600000
disk-wal,streaming,54,13.200000
disk-wal,streaming,55,16.900000
disk-wal,streaming,56,13.200000
disk-wal,streaming,57,16.400000
disk-wal,streaming,58,12.200000
disk-wal,streaming,59,18.100000
disk-wal,streaming,60,13.500000
disk-wal,streaming,61,15.700000
disk-wal,streaming,62,11.700000
disk-wal,streaming,63,19.000000
disk-wal,streaming,64,12.500000
disk-wal,streaming,65,17.900000
disk-wal,streaming,66,14.600000
disk-wal,streaming,67,19.800000
disk-wal,streaming,68,15.100000
disk-wal,streaming,69,15.500000
disk-wal,streaming,70,14.300000
disk-wal,streaming,71,9.800000
disk-wal,streaming,72,10.300000
disk-wal,streaming,73,8.900000
disk-wal,streaming,74,10.700000
disk-wal,streaming,75,9.800000
disk-wal,streaming,76,10.100000
disk-wal,streaming,77,10.200000
disk-wal,streaming,78,11.400000
disk-wal,streaming,79,11.100000
disk-wal,streaming,80,18.800000
disk-wal,streaming,81,13.200000
disk-wal,streaming,82,16.200000
disk-wal,streaming,83,13.100000
disk-wal,streaming,84,16.800000
disk-wal,streaming,85,12.000000
disk-wal,streaming,86,18.100000
disk-wal,streaming,87,11.900000
disk-wal,streaming,88,17.700000
disk-wal,streaming,89,12.500000
disk-wal,streaming,90,17.800000
disk-wal,streaming,91,12.100000
disk-wal,streaming,92,17.600000
disk-wal,streaming,93,12.300000
disk-wal,streaming,94,17.600000
disk-wal,streaming,95,12.200000
disk-wal,streaming,96,17.600000
disk-wal,streaming,97,11.700000
disk-wal,streaming,98,12.400000
disk-wal,streaming,99,16.000000
disk-wal,streaming,100,12.100000
disk-wal,buffering-proxy-auto-detection,1,19.700000
disk-wal,buffering-proxy-auto-detection,2,16.200000
disk-wal,buffering-proxy-auto-detection,3,20.200000
disk-wal,buffering-proxy-auto-detection,4,19.700000
disk-wal,buffering-proxy-auto-detection,5,20.200000
disk-wal,buffering-proxy-auto-detection,6,20.000000
disk-wal,buffering-proxy-auto-detection,7,20.000000
disk-wal,buffering-proxy-auto-detection,8,19.800000
