mode,variant,sample_index,delivery_milliseconds
memory,buffering-proxy-auto-detection,55,8.200000
memory,buffering-proxy-auto-detection,56,11.500000
memory,buffering-proxy-auto-detection,57,9.600000
memory,buffering-proxy-auto-detection,58,9.500000
memory,buffering-proxy-auto-detection,59,10.200000
memory,buffering-proxy-auto-detection,60,9.700000
memory,buffering-proxy-auto-detection,61,10.300000
memory,buffering-proxy-auto-detection,62,8.600000
memory,buffering-proxy-auto-detection,63,11.100000
memory,buffering-proxy-auto-detection,64,8.800000
memory,buffering-proxy-auto-detection,65,10.700000
memory,buffering-proxy-auto-detection,66,11.200000
memory,buffering-proxy-auto-detection,67,9.600000
memory,buffering-proxy-auto-detection,68,10.500000
memory,buffering-proxy-auto-detection,69,8.900000
memory,buffering-proxy-auto-detection,70,10.900000
memory,buffering-proxy-auto-detection,71,9.300000
memory,buffering-proxy-auto-detection,72,10.800000
memory,buffering-proxy-auto-detection,73,9.200000
memory,buffering-proxy-auto-detection,74,10.700000
memory,buffering-proxy-auto-detection,75,9.300000
memory,buffering-proxy-auto-detection,76,10.800000
memory,buffering-proxy-auto-detection,77,9.500000
memory,buffering-proxy-auto-detection,78,10.100000
memory,buffering-proxy-auto-detection,79,9.600000
memory,buffering-proxy-auto-detection,80,9.300000
memory,buffering-proxy-auto-detection,81,10.900000
memory,buffering-proxy-auto-detection,82,9.500000
memory,buffering-proxy-auto-detection,83,10.100000
memory,buffering-proxy-auto-detection,84,10.600000
memory,buffering-proxy-auto-detection,85,8.500000
memory,buffering-proxy-auto-detection,86,11.800000
memory,buffering-proxy-auto-detection,87,9.700000
memory,buffering-proxy-auto-detection,88,9.500000
memory,buffering-proxy-auto-detection,89,11.000000
memory,buffering-proxy-auto-detection,90,9.600000
memory,buffering-proxy-auto-detection,91,8.600000
memory,buffering-proxy-auto-detection,92,11.900000
memory,buffering-proxy-auto-detection,93,9.800000
memory,buffering-proxy-auto-detection,94,9.700000
memory,buffering-proxy-auto-detection,95,9.500000
memory,buffering-proxy-auto-detection,96,9.800000
memory,buffering-proxy-auto-detection,97,11.000000
memory,buffering-proxy-auto-detection,98,9.900000
memory,buffering-proxy-auto-detection,99,9.800000
memory,buffering-proxy-auto-detection,100,10.300000
disk-wal,long-polling,1,15.300000
disk-wal,long-polling,2,17.800000
disk-wal,long-polling,3,16.900000
disk-wal,long-polling,4,17.200000
disk-wal,long-polling,5,16.900000
disk-wal,long-polling,6,17.900000
disk-wal,long-polling,7,16.000000
disk-wal,long-polling,8,18.500000
disk-wal,long-polling,9,17.200000
disk-wal,long-polling,10,17.600000
disk-wal,long-polling,11,17.100000
disk-wal,long-polling,12,17.600000
disk-wal,long-polling,13,18.100000
disk-wal,long-polling,14,18.200000
disk-wal,long-polling,15,21.900000
disk-wal,long-polling,16,18.000000
disk-wal,long-polling,17,17.900000
disk-wal,long-polling,18,19.900000
disk-wal,long-polling,19,21.000000
disk-wal,long-polling,20,20.400000
disk-wal,long-polling,21,17.900000
disk-wal,long-polling,22,18.700000
disk-wal,long-polling,23,18.500000
disk-wal,long-polling,24,17.900000
disk-wal,long-polling,25,18.000000
disk-wal,long-polling,26,19.200000
disk-wal,long-polling,27,18.700000
disk-wal,long-polling,28,16.900000
disk-wal,long-polling,29,18.200000
disk-wal,long-polling,30,17.300000
disk-wal,long-polling,31,17.600000
disk-wal,long-polling,32,17.900000
disk-wal,long-polling,33,17.900000
disk-wal,long-polling,34,19.400000
disk-wal,long-polling,35,19.000000
disk-wal,long-polling,36,20.700000
disk-wal,long-polling,37,19.200000
disk-wal,long-polling,38,19.100000
disk-wal,long-polling,39,17.900000
disk-wal,long-polling,40,19.000000
disk-wal,long-polling,41,18.800000
disk-wal,long-polling,42,19.300000
disk-wal,long-polling,43,17.000000
disk-wal,long-polling,44,19.400000
disk-wal,long-polling,45,21.600000
disk-wal,long-polling,46,17.800000
disk-wal,long-polling,47,17.900000
disk-wal,long-polling,48,18.000000
disk-wal,long-polling,49,18.700000
disk-wal,long-polling,50,19.400000
disk-wal,long-polling,51,18.100000
disk-wal,long-polling,52,19.500000
disk-wal,long-polling,53,20.300000
disk-wal,long-polling,54,19.300000
disk-wal,long-polling,55,16.500000
disk-wal,long-polling,56,18.200000
disk-wal,long-polling,57,17.800000
disk-wal,long-polling,58,18.100000
disk-wal,long-polling,59,17.800000
disk-wal,long-polling,60,18.500000
disk-wal,long-polling,61,19.000000
disk-wal,long-polling,62,19.100000
disk-wal,long-polling,63,17.800000
disk-wal,long-polling,64,18.900000
disk-wal,long-polling,65,19.000000
disk-wal,long-polling,66,18.700000
disk-wal,long-polling,67,18.500000
disk-wal,long-polling,68,18.900000
disk-wal,long-polling,69,18.100000
disk-wal,long-polling,70,17.700000
disk-wal,long-polling,71,18.400000
disk-wal,long-polling,72,19.400000
disk-wal,long-polling,73,17.600000
disk-wal,long-polling,74,19.200000
disk-wal,long-polling,75,19.200000
disk-wal,long-polling,76,18.600000
disk-wal,long-polling,77,18.800000
disk-wal,long-polling,78,19.100000
disk-wal,long-polling,79,19.100000
disk-wal,long-polling,80,21.100000
disk-wal,long-polling,81,19.000000
disk-wal,long-polling,82,18.900000
disk-wal,long-polling,83,19.500000
disk-wal,long-polling,84,19.600000
disk-wal,long-polling,85,18.900000
disk-wal,long-polling,86,19.700000
disk-wal,long-polling,87,19.300000
disk-wal,long-polling,88,18.800000
disk-wal,long-polling,89,19.100000
disk-wal,long-polling,90,17.700000
disk-wal,long-polling,91,19.400000
disk-wal,long-polling,92,18.900000
disk-wal,long-polling,93,18.700000
disk-wal,long-polling,94,18.400000
disk-wal,long-polling,95,19.100000
disk-wal,long-polling,96,19.000000
disk-wal,long-polling,97,18.700000
disk-wal,long-polling,98,19.000000
disk-wal,long-polling,99,18.900000
disk-wal,long-polling,100,23.100000
disk-wal,streaming,1,17.700000
disk-wal,streaming,2,15.900000
disk-wal,streaming,3,17.600000
disk-wal,streaming,4,19.300000
disk-wal,streaming,5,17.000000
disk-wal,streaming,6,17.000000
disk-wal,streaming,7,15.800000
disk-wal,streaming,8,15.000000
disk-wal,streaming,9,15.200000
disk-wal,streaming,10,16.900000
disk-wal,streaming,11,16.100000
disk-wal,streaming,12,17.000000
disk-wal,streaming,13,17.100000
disk-wal,streaming,14,17.800000
disk-wal,streaming,15,17.100000
disk-wal,streaming,16,17.200000
disk-wal,streaming,17,18.300000
disk-wal,streaming,18,17.400000
disk-wal,streaming,19,16.200000
disk-wal,streaming,20,17.900000
disk-wal,streaming,21,18.900000
disk-wal,streaming,22,18.400000
disk-wal,streaming,23,17.600000
disk-wal,streaming,24,15.800000
disk-wal,streaming,25,16.200000
disk-wal,streaming,26,16.900000
disk-wal,streaming,27,17.200000
disk-wal,streaming,28,15.800000
disk-wal,streaming,29,17.100000
disk-wal,streaming,30,17.900000
disk-wal,streaming,31,16.200000
disk-wal,streaming,32,15.800000
disk-wal,streaming,33,17.200000
disk-wal,streaming,34,17.800000
disk-wal,streaming,35,18.200000
disk-wal,streaming,36,17.900000
disk-wal,streaming,37,17.400000
disk-wal,streaming,38,18.800000
disk-wal,streaming,39,18.200000
disk-wal,streaming,40,18.000000
disk-wal,streaming,41,18.800000
disk-wal,streaming,42,16.900000
disk-wal,streaming,43,17.300000
disk-wal,streaming,44,16.500000
disk-wal,streaming,45,16.300000
disk-wal,streaming,46,16.800000
disk-wal,streaming,47,17.200000
disk-wal,streaming,48,16.700000
disk-wal,streaming,49,17.100000
disk-wal,streaming,50,16.900000
disk-wal,streaming,51,17.200000
disk-wal,streaming,52,15.800000
disk-wal,streaming,53,15.200000
disk-wal,streaming,54,16.800000
disk-wal,streaming,55,16.100000
disk-wal,streaming,56,16.900000
disk-wal,streaming,57,16.000000
disk-wal,streaming,58,17.100000
disk-wal,streaming,59,17.100000
disk-wal,streaming,60,17.100000
disk-wal,streaming,61,18.200000
disk-wal,streaming,62,15.700000
disk-wal,streaming,63,17.100000
disk-wal,streaming,64,16.800000
disk-wal,streaming,65,17.200000
disk-wal,streaming,66,18.000000
disk-wal,streaming,67,18.300000
disk-wal,streaming,68,17.600000
disk-wal,streaming,69,17.400000
disk-wal,streaming,70,18.400000
disk-wal,streaming,71,17.000000
disk-wal,streaming,72,18.200000
disk-wal,streaming,73,17.900000
disk-wal,streaming,74,16.800000
disk-wal,streaming,75,17.200000
disk-wal,streaming,76,16.800000
disk-wal,streaming,77,17.200000
disk-wal,streaming,78,17.100000
disk-wal,streaming,79,17.900000
disk-wal,streaming,80,17.100000
disk-wal,streaming,81,18.000000
disk-wal,streaming,82,18.200000
disk-wal,streaming,83,17.900000
disk-wal,streaming,84,17.900000
disk-wal,streaming,85,17.800000
disk-wal,streaming,86,17.800000
disk-wal,streaming,87,17.500000
disk-wal,streaming,88,18.000000
disk-wal,streaming,89,18.900000
disk-wal,streaming,90,18.000000
disk-wal,streaming,91,17.000000
disk-wal,streaming,92,18.500000
disk-wal,streaming,93,19.600000
disk-wal,streaming,94,18.800000
disk-wal,streaming,95,17.900000
disk-wal,streaming,96,18.000000
disk-wal,streaming,97,17.900000
disk-wal,streaming,98,16.900000
disk-wal,streaming,99,16.600000
disk-wal,streaming,100,17.400000
disk-wal,buffering-proxy-auto-detection,1,15.000000
disk-wal,buffering-proxy-auto-detection,2,15.900000
disk-wal,buffering-proxy-auto-detection,3,16.000000
disk-wal,buffering-proxy-auto-detection,4,16.000000
disk-wal,buffering-proxy-auto-detection,5,17.100000
disk-wal,buffering-proxy-auto-detection,6,16.800000
disk-wal,buffering-proxy-auto-detection,7,16.100000
disk-wal,buffering-proxy-auto-detection,8,16.000000
disk-wal,buffering-proxy-auto-detection,9,17.000000
disk-wal,buffering-proxy-auto-detection,10,16.600000
disk-wal,buffering-proxy-auto-detection,11,18.500000
disk-wal,buffering-proxy-auto-detection,12,18.200000
disk-wal,buffering-proxy-auto-detection,13,16.900000
disk-wal,buffering-proxy-auto-detection,14,18.000000
disk-wal,buffering-proxy-auto-detection,15,17.100000
disk-wal,buffering-proxy-auto-detection,16,16.900000
disk-wal,buffering-proxy-auto-detection,17,17.100000
disk-wal,buffering-proxy-auto-detection,18,17.200000
disk-wal,buffering-proxy-auto-detection,19,19.000000
disk-wal,buffering-proxy-auto-detection,20,17.600000
disk-wal,buffering-proxy-auto-detection,21,18.300000
disk-wal,buffering-proxy-auto-detection,22,18.000000
disk-wal,buffering-proxy-auto-detection,23,19.100000
disk-wal,buffering-proxy-auto-detection,24,18.200000
disk-wal,buffering-proxy-auto-detection,25,17.500000
disk-wal,buffering-proxy-auto-detection,26,17.900000
disk-wal,buffering-proxy-auto-detection,27,16.000000
disk-wal,buffering-proxy-auto-detection,28,17.900000
disk-wal,buffering-proxy-auto-detection,29,17.800000
disk-wal,buffering-proxy-auto-detection,30,16.000000
disk-wal,buffering-proxy-auto-detection,31,14.900000
disk-wal,buffering-proxy-auto-detection,32,13.900000
disk-wal,buffering-proxy-auto-detection,33,15.200000
